[-2761.0, -4895.0, -3258.0, -3073.0, -3623.0, -2991.0, -4726.0, -2589.0, -2998.0, -4118.0, -5116864.0, -6715.0, -7365.0, -2611.0, -5168.0, -2504.0, -2933.0, -2695.0, -5277.0, -3391.0, -1894.0, -2596.0, -3664.0, -5960.0, -2617.0, -2258.0, -5078.0, -2316.0, -2263.0, -3194.0, -1896.0, -2157.0]
[-1845.0, -1739.0, -1894.0, -3226.0, -1922.0, -3549.0, -3597.0, -2790.0, -2346.0, -2377.0, -1896.0, -2847.0, -2227.0, -2751.0, -2608.0, -1962.0, -2175.0, -2229.0, -2285.0, -1985.0, -3020.0, -2157.0, -3515.0, -2973.0, -3180.0, -4401.0, -1965.0, -3621.0, -2685.0, -2484.0, -3205.0, -3028.0]
[-1565.0, -1616.0, -1657.0, -2748.0, -3012.0, -2195.0, -1962.0, -1739.0, -3134.0, -2524.0, -2627.0, -2854.0, -2575.0, -2669.0, -2389.0, -1845.0, -4248.0, -1924.0, -2912.0, -1894.0, -2433.0, -3128.0, -2784.0, -2985.0, -4455.0, -3052.0, -2529.0, -2497.0, -4615.0, -2555.0, -1765.0, -2132.0]
[-1147.0, -729.0, -1565.0, -2180.0, -2675.0, -2363.0, -1949.0, -2898.0, -2443.0, -2861.0, -3215.0, -1616.0, -2892.0, -1680.0, -1657.0, -2646.0, -3512.0, -3500.0, -2068.0, -2765.0, -2674.0, -3338.0, -2016.0, -2569.0, -1821.0, -5248.0, -2812.0, -2547.0, -2928.0, -1894.0, -2723.0, -1722.0]
[-1433.0, -1147.0, -729.0, -1999.0, -2524.0, -1994.0, -2751.0, -4064.0, -2762.0, -1733.0, -2887.0, -3229.0, -2643.0, -2734.0, -1661.0, -2470.0, -2945.0, -1893.0, -2717.0, -1710.0, -1732.0, -2938.0, -1510.0, -1910.0, -3977.0, -2624.0, -1565.0, -2253.0, -2576.0, -2705.0, -1706.0, -2901.0]
[-1433.0, -1147.0, -729.0, -2655.0, -3369.0, -1691.0, -3278.0, -2988.0, -2084.0, -3229.0, -3174.0, -2814.0, -2434.0, -4029.0, -2375.0, -1721.0, -2383.0, -1845.0, -2703.0, -1968.0, -2060.0, -1865.0, -1985.0, -2962.0, -3203.0, -3826.0, -1668.0, -2483.0, -2027.0, -1822.0, -1980.0, -1980.0]
[-1433.0, -1147.0, -729.0, -3625.0, -2768.0, -3347.0, -2710.0, -3056.0, -2244.0, -3039.0, -2908.0, -3464.0, -3469.0, -2699.0, -2524.0, -3004.0, -3561.0, -1687.0, -1623.0, -1747.0, -2797.0, -3283.0, -2714.0, -2231.0, -2633.0, -1786.0, -1841.0, -2164.0, -3172.0, -1835.0, -2431.0, -2716.0]
[-681.0, -511.0, -729.0, -4144.0, -3036.0, -3877.0, -1147.0, -4919.0, -1955.0, -2608.0, -2856.0, -3057.0, -2890.0, -1433.0, -1934.0, -3388.0, -3199.0, -3247.0, -2211.0, -3333.0, -3595.0, -2390.0, -2621.0, -3370.0, -2984.0, -2731.0, -2488.0, -2879.0, -3285.0, -2705.0, -1507.0, -2866.0]
[-563.0, -681.0, -511.0, -1904.0, -2992.0, -2330.0, -2417.0, -2958.0, -3325.0, -1991.0, -2781.0, -3627.0, -2716.0, -1613.0, -3594.0, -2064.0, -3017.0, -2278.0, -3137.0, -2746.0, -3435.0, -2683.0, -2666.0, -3170.0, -740.0, -2478.0, -2531.0, -729.0, -2883.0, -2051.0, -2478.0, -2683.0]
[-681.0, -563.0, -511.0, -3255.0, -3364.0, -2723.0, -2617.0, -2029.0, -2706.0, -2293.0, -2489.0, -2678.0, -3704.0, -2258.0, -3005.0, -2253.0, -4250.0, -3201.0, -739.0, -2470.0, -3022.0, -2686.0, -3346.0, -818.0, -1826.0, -2434.0, -1771.0, -2057.0, -3767.0, -2184.0, -2250.0, -1514.0]
[-328.0, -563.0, -511.0, -690.0, -2169.0, -3182.0, -2656.0, -2269.0, -4066.0, -574.0, -1249.0, -593.0, -2178.0, -2284.0, -1965.0, -2681.0, -3556.0, -2823.0, -2607.0, -2300.0, -2961.0, -681.0, -1961.0, -1936.0, -1996.0, -2708.0, -2722.0, -2383.0, -1713.0, -1895.0, -2489.0, -2532.0]
[-563.0, -511.0, -328.0, -3520.0, -3130.0, -1719.0, -3913.0, -1964.0, -3182.0, -4183.0, -719.0, -3102.0, -2175.0, -1337.0, -603.0, -2394.0, -573.0, -1778.0, -2571.0, -1928.0, -583.0, -1813.0, -3028.0, -2874.0, -3443.0, -2413.0, -3123.0, -1598.0, -1870.0, -2009.0, -3253.0, -1748.0]
[-563.0, -511.0, -328.0, -1930.0, -2613.0, -2280.0, -3114.0, -3743.0, -2488.0, -2399.0, -2353.0, -2544.0, -804.0, -1701.0, -3183.0, -1799.0, -720.0, -1928.0, -670.0, -1947.0, -594.0, -3407.0, -3289.0, -1786.0, -2651.0, -3715.0, -2824.0, -2010.0, -2615.0, -1909.0, -3019.0, -1428.0]
[-563.0, -511.0, -328.0, -818.0, -2258.0, -3157.0, -3021.0, -790.0, -1627.0, -815.0, -4145.0, -1765.0, -1337.0, -2817.0, -680.0, -679.0, -2861.0, -3358.0, -3004.0, -3944.0, -3241.0, -2557.0, -3060.0, -1800.0, -2865.0, -1994.0, -3612.0, -2484.0, -1717.0, -3672.0, -2104.0, -1809.0]
[-563.0, -511.0, -328.0, -680.0, -1235.0, -1674.0, -1722.0, -2727.0, -3286.0, -2703.0, -2344.0, -1430.0, -1947.0, -1578.0, -584.0, -691.0, -3678.0, -3044.0, -3148.0, -2471.0, -4257.0, -835.0, -2672.0, -2017.0, -2686.0, -2474.0, -3422.0, -824.0, -2821.0, -3279.0, -570.0, -2030.0]
[-459.0, -511.0, -328.0, -835.0, -3336.0, -3367.0, -2781.0, -679.0, -2488.0, -3980.0, -3088.0, -835.0, -563.0, -2602.0, -2285.0, -2313.0, -3490.0, -3334.0, -2339.0, -1809.0, -3681.0, -3380.0, -3622.0, -593.0, -1627.0, -688.0, -2505.0, -1783.0, -4752.0, -2798.0, -3244.0, -780.0]
